,0
0,0.8570112887749365
1,0.038397126951985855
2,-0.2843348113438535
3,0.3204700815759823
4,0.626507973465052
5,-0.06470342404624721
6,0.030859840211276284
7,0.0074005575327261534
8,0.40833497285155096
9,-0.37281014647975885
10,0.3214665190256659
11,-0.2690811712758976
12,-0.031160300261716393
13,-0.20139046122631743
14,0.47410302528712656
15,-0.2001996855056124
16,0.1440257579174092
17,0.19276948171691344
18,0.8668241983302012
19,0.8199452905147175
20,0.23492003156024555
21,1.0273044797885065
22,-1.8917439994308092
23,0.18910456088041602
