DATE,WGS2YR
1976-06-01,7.0750000000000000
1976-07-01,6.8720000000000000
1976-08-01,6.6400000000000000
1976-09-01,6.4425000000000000
1976-10-01,6.0380000000000000
1976-11-01,5.8575000000000000
1976-12-01,5.3800000000000000
1977-01-01,5.8850000000000000
1977-02-01,6.0950000000000000
1977-03-01,6.0925000000000000
1977-04-01,5.9820000000000000
1977-05-01,6.2575000000000000
1977-06-01,6.1450000000000000
1977-07-01,6.2320000000000000
1977-08-01,6.6150000000000000
1977-09-01,6.6920000000000000
1977-10-01,7.1025000000000000
1977-11-01,7.1525000000000000
1977-12-01,7.1720000000000000
1978-01-01,7.4800000000000000
1978-02-01,7.5600000000000000
1978-03-01,7.5760000000000000
1978-04-01,7.7450000000000000
1978-05-01,8.0025000000000000
1978-06-01,8.2240000000000000
1978-07-01,8.4875000000000000
1978-08-01,8.3575000000000000
1978-09-01,8.5420000000000000
1978-10-01,8.7875000000000000
1978-11-01,9.3950000000000000
1978-12-01,9.7020000000000000
1979-01-01,9.8900000000000000
1979-02-01,9.6875000000000000
1979-03-01,9.8040000000000000
1979-04-01,9.7750000000000000
1979-05-01,9.8150000000000000
1979-06-01,9.2700000000000000
1979-07-01,9.1125000000000000
1979-08-01,9.4480000000000000
1979-09-01,10.0575000000000000
1979-10-01,11.3825000000000000
1979-11-01,11.8700000000000000
1979-12-01,11.3975000000000000
1980-01-01,11.4150000000000000
1980-02-01,13.1680000000000000
1980-03-01,14.8950000000000000
1980-04-01,12.9725000000000000
1980-05-01,9.5940000000000000
1980-06-01,8.7175000000000000
1980-07-01,8.9500000000000000
1980-08-01,10.3460000000000000
1980-09-01,11.4725000000000000
1980-10-01,12.0880000000000000
1980-11-01,13.5100000000000000
1980-12-01,14.1975000000000000
1981-01-01,13.2160000000000000
1981-02-01,13.9300000000000000
1981-03-01,13.5975000000000000
1981-04-01,13.9450000000000000
1981-05-01,15.3140000000000000
1981-06-01,14.4975000000000000
1981-07-01,15.2680000000000000
1981-08-01,16.2625000000000000
1981-09-01,16.4650000000000000
1981-10-01,15.6640000000000000
1981-11-01,12.9425000000000000
1981-12-01,13.1525000000000000
1982-01-01,14.4300000000000000
1982-02-01,14.8475000000000000
1982-03-01,14.1375000000000000
1982-04-01,14.2520000000000000
1982-05-01,13.7775000000000000
1982-06-01,14.3875000000000000
1982-07-01,13.9440000000000000
1982-08-01,12.3550000000000000
1982-09-01,11.8800000000000000
1982-10-01,10.3700000000000000
1982-11-01,9.7750000000000000
1982-12-01,9.6800000000000000
1983-01-01,9.3150000000000000
1983-02-01,9.6350000000000000
1983-03-01,9.5925000000000000
1983-04-01,9.6320000000000000
1983-05-01,9.4625000000000000
1983-06-01,10.1375000000000000
1983-07-01,10.6200000000000000
1983-08-01,11.0625000000000000
1983-09-01,10.8360000000000000
1983-10-01,10.5750000000000000
1983-11-01,10.6650000000000000
1983-12-01,10.8160000000000000
1984-01-01,10.6550000000000000
1984-02-01,10.7375000000000000
1984-03-01,11.2780000000000000
1984-04-01,11.6750000000000000
1984-05-01,12.3600000000000000
1984-06-01,12.9220000000000000
1984-07-01,12.9175000000000000
1984-08-01,12.4520000000000000
1984-09-01,12.2225000000000000
1984-10-01,11.6750000000000000
1984-11-01,10.7200000000000000
1984-12-01,10.1775000000000000
1985-01-01,9.9600000000000000
1985-02-01,10.0250000000000000
1985-03-01,10.6780000000000000
1985-04-01,10.1250000000000000
1985-05-01,9.4220000000000000
1985-06-01,8.6875000000000000
1985-07-01,8.7275000000000000
1985-08-01,8.9540000000000000
1985-09-01,8.9800000000000000
1985-10-01,8.8825000000000000
1985-11-01,8.6100000000000000
1985-12-01,8.1550000000000000
1986-01-01,8.1260000000000000
1986-02-01,7.9675000000000000
1986-03-01,7.2250000000000000
1986-04-01,6.6850000000000000
1986-05-01,7.0480000000000000
1986-06-01,7.2025000000000000
1986-07-01,6.6775000000000000
1986-08-01,6.3820000000000000
1986-09-01,6.3300000000000000
1986-10-01,6.2920000000000000
1986-11-01,6.2775000000000000
1986-12-01,6.2575000000000000
1987-01-01,6.2480000000000000
1987-02-01,6.3975000000000000
1987-03-01,6.4100000000000000
1987-04-01,6.8975000000000000
1987-05-01,7.7100000000000000
1987-06-01,7.5825000000000000
1987-07-01,7.4480000000000000
1987-08-01,7.7450000000000000
1987-09-01,8.2950000000000000
1987-10-01,8.4460000000000000
1987-11-01,7.6925000000000000
1987-12-01,7.8600000000000000
1988-01-01,7.6680000000000000
1988-02-01,7.1875000000000000
1988-03-01,7.2350000000000000
1988-04-01,7.5560000000000000
1988-05-01,7.9875000000000000
1988-06-01,8.0350000000000000
1988-07-01,8.2360000000000000
1988-08-01,8.6125000000000000
1988-09-01,8.4940000000000000
1988-10-01,8.3550000000000000
1988-11-01,8.6125000000000000
1988-12-01,9.0760000000000000
1989-01-01,9.1850000000000000
1989-02-01,9.3325000000000000
1989-03-01,9.6800000000000000
1989-04-01,9.4500000000000000
1989-05-01,9.0350000000000000
1989-06-01,8.4560000000000000
1989-07-01,7.8425000000000000
1989-08-01,8.0600000000000000
1989-09-01,8.3100000000000000
1989-10-01,7.9900000000000000
1989-11-01,7.8000000000000000
1989-12-01,7.7820000000000000
1990-01-01,8.0500000000000000
1990-02-01,8.3650000000000000
1990-03-01,8.5980000000000000
1990-04-01,8.7050000000000000
1990-05-01,8.6800000000000000
1990-06-01,8.3740000000000000
1990-07-01,8.1850000000000000
1990-08-01,8.0500000000000000
1990-09-01,8.0800000000000000
1990-10-01,7.8950000000000000
1990-11-01,7.6220000000000000
